# Temps Uc Ur
0.00133 3.76701518029197 1.23298481970803
0.00134 3.77992589751226 1.22007410248774
0.00135 3.79270142521808 1.20729857478192
0.00136 3.80534317899342 1.19465682100658
0.00137 3.81785255959955 1.18214744040045
0.00138 3.83023095313024 1.16976904686976
0.00139 3.84247973116529 1.15752026883471
0.0014 3.85460025092256 1.14539974907744
0.00141 3.86659385540833 1.13340614459167
0.00142 3.87846187356612 1.12153812643388
0.00143 3.89020562042393 1.10979437957607
0.00144 3.90182639723996 1.09817360276004
0.00145 3.9133254916468 1.0866745083532
0.00146 3.92470417779411 1.07529582220589
0.00147 3.93596371648978 1.06403628351022
0.00148 3.94710535533963 1.05289464466037
0.00149 3.95813032888569 1.04186967111431
0.0015 3.96903985874296 1.03096014125704
0.00151 3.97983515373476 1.02016484626524
